name,address,online_order,book_table,location,restaurant_type,cuisines,category,city,votes,rating,cost_for_two
Moriz Restaurant,"89/1, Service Road, Marathahalli, Bangalore",Yes,No,Marathahalli,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",Delivery,Bellandur,666,2.9,800.0
Curry Flavours,"603, Second Floor, KPC Layout, Amrutha College Road, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Casual Dining,"Tamil, South Indian, North Indian, Chinese",Delivery,Bellandur,59,3.7,200.0
Delitz Creamvilla Cafe,"19, First Floor, Bellandur Bus Stop, Outer Ring Road, Opposite Central Mall, Bellandur, Bangalore",Yes,No,Bellandur,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",Cafes,Bellandur,74,4.0,600.0
The Irish House,"Campus 8/A, International Bay, RMZ Ecoworld, Bellandur, Bangalore",Yes,No,Bellandur,"Casual Dining, Pub","European, American",Pubs and bars,Bellandur,793,4.2,1700.0
OPUS Club,"26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore",No,Yes,Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican",Pubs and bars,Bellandur,1496,4.4,1900.0
Supreme Biryani,Delivery Only,Yes,No,South Bangalore,Delivery,Biryani,Delivery,Bellandur,18,3.3,400.0
Just Bake,"32, Opposite Fire Station, Beside Total Mall, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Bakery,"Bakery, Desserts",Delivery,Bellandur,65,2.9,400.0
World In A Bowl,"779/71, First Floor, Near Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Delivery,"Continental, North Indian, Desserts, Beverages",Delivery,Bellandur,17,3.5,600.0
Anand Sweets And Savouries,"14, Sarjapur Road, Kaikondhalli Lake, Opposite Fire Station, Sarjapur Road, Bangalore",No,No,Sarjapur Road,"Sweet Shop, Quick Bites","Mithai, Street Food",Desserts,Bellandur,267,4.2,400.0
Swathi Deluxe,"84/1, Kadubeesanhalli, Panathur Main Road, Marathahalli, Bangalore",Yes,Yes,Marathahalli,Casual Dining,"North Indian, Seafood, Chinese, Biryani",Delivery,Bellandur,218,3.9,750.0
That Garage Cafe,"167/A, 27th Main Road, Sector 2, HSR, Bangalore",Yes,No,HSR,Cafe,"Cafe, Italian, Continental, European",Delivery,Bellandur,100,3.1,650.0
Annapurna Foods,"Ground Floor, Ganapa Tower, Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"North Indian, Chinese, Hyderabadi",Delivery,Bellandur,11,3.5,400.0
OPUS Club,"26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore",No,Yes,Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican",Drinks & nightlife,Bellandur,1496,4.4,1900.0
Chef's Gallery,"1st Floor, RMZ Ecospace, Outer Ring Road, Bellandur, Bangalore",No,No,Bellandur,Casual Dining,"Chinese, Italian, North Indian",Delivery,Bellandur,95,3.5,700.0
Reddy's Paradise,"6/2, Near Wipro Headquaters, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Fast Food, Chinese, North Indian, Biryani",Delivery,Bellandur,9,3.4,400.0
Thiruvithamkoor Restaurant,"3/3, Muniyanna Building, Behind Bata Showroom, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Kerala, Seafood, South Indian, Biryani",Delivery,Bellandur,294,3.3,400.0
Taste Of India,"8A & 8B, RMZ Ecoworld, Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bangalore",No,No,Bellandur,Quick Bites,"North Indian, Rolls",Delivery,Bellandur,5,3.1,400.0
Ambur Dum Biriyani,"55/8 opp to sakra world hospital devarabisnahalli, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,Biryani,Dine-out,Bellandur,12,3.4,200.0
Laddoos,"Near Ganesh Temple, Bellandur, Bangalore",Yes,No,Bellandur,"Quick Bites, Sweet Shop","North Indian, Street Food, Mithai",Delivery,Bellandur,163,2.9,250.0
Khan Saheb Grills And Rolls,"61, Next To Purva Sunshine Apartments, Carmalaram Post, Kaikondarahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"Biryani, Fast Food, Rolls",Dine-out,Bellandur,135,3.2,400.0
Ande Ka Funda,"56, Srinivas Reddy Building, Devarabisanahalli",No,No,Bellandur,Quick Bites,Fast Food,Delivery,Bellandur,21,3.0,150.0
Basaveshwara Khanavali,"Near MK Retail, Kaikondahalli Main Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,South Indian,Dine-out,Bellandur,11,3.6,150.0
KFC,"The Bay, Building 8A&8B, RMZ Ecoworld, Doddakannelli Road, Adarsh Palm Retreat, Bellandur, Bangalore",No,No,Bellandur,"Quick Bites, Food Court","Burger, Fast Food",Dine-out,Bellandur,20,3.6,450.0
New Punjabi Dhaba,"7th Cross, Sector 1, HSR, Bangalore",Yes,No,HSR,Quick Bites,"North Indian, Chinese",Delivery,Bellandur,782,3.9,300.0
Sultan's Biryani,"Bellandur, Bangalore",No,No,Bellandur,Delivery,"Biryani, North Indian",Delivery,Bellandur,5,3.1,700.0
Andhra Paris,"Shop 3, P.G.K Chambers, Basement, Tulasi Layout, Kasavanahalli, Matha Amrutha College Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,Andhra,Delivery,Bellandur,5,3.2,250.0
Purani Dilli By Anand Sweets,"Level 1, 14, Opposite Fire Station, Adjacent to Kaikondrahalli Lake, Sarjapur Road, Bangalore",No,No,Sarjapur Road,Quick Bites,"North Indian, Continental, Street Food",Dine-out,Bellandur,239,4.1,500.0
Cauvery Hyderabadi Biriyani,"89/3, Kadubisanahalli, Near CESSNA Business Park, Outer Ring Service Road, Marathahalli, Bangalore",No,No,Marathahalli,Casual Dining,"North Indian, Chinese",Delivery,Bellandur,111,3.8,600.0
Kerala Panoor Restaurant,"4, Ground Floor, Lakshaman Reddy Building, Marthahalli Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Kerala, Seafood, Biryani, South Indian",Delivery,Bellandur,137,3.5,350.0
Half & Half Food Box,"97/1, Green Glen Layout, Opposite Road To MK Hypermarket, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",Dine-out,Bellandur,13,3.1,500.0
Matinee Bar & Kitchen,"19/4 & 27, Ground Floor, Indiqube Alpha, Panathur Junction, Kadubisanahalli, Sarjapur Outer Ring Road, Marathahalli, Bangalore",Yes,Yes,Marathahalli,Casual Dining,"BBQ, Continental, North Indian, Pizza, European",Delivery,Bellandur,340,4.2,1700.0
Bombay Brasserie,"International Bay, Campus 8/A, RMZ Ecoworld, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,Modern Indian,Dine-out,Bellandur,555,4.3,1800.0
Daniyal's,"17/1, RJR Building, Bellandur Gate, Ambalipura, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Takeaway, Delivery","North Indian, Biryani, Mughlai, Kebab",Delivery,Bellandur,6,3.6,800.0
Kaka Singh,"RMZ Ecoworld, Back Gate, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,North Indian,Delivery,Bellandur,42,2.6,400.0
Little Italy,"12/3/2, Ambalipura Village, Sarjapur Road, Bangalore",Yes,Yes,Sarjapur Road,Casual Dining,"Italian, Pizza",Dine-out,Bellandur,715,4.3,1500.0
Sree Lakshmi Venkateshwara Andhra Mess,"Kadubisanahalli, Outer Ring Road, Sevice Road, Marathahalli, Bangalore",No,No,Marathahalli,Mess,"Andhra, South Indian",Delivery,Bellandur,17,3.5,400.0
Tipsy Bull - The Bar Exchange,"24-26, 414/80/2, Varthur Hobli, Outer Ring Road",Yes,Yes,Bellandur,"Bar, Casual Dining","North Indian, Chinese, Continental, Mexican",Delivery,Bellandur,2182,4.4,1400.0
Punjabi Food Point,"225, 2nd Cross, Opposite BBMP Office, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Mughlai, Biryani, Chinese",Dine-out,Bellandur,200,3.3,450.0
Freshies Gourmet Salads,"First Floor, Opposite Veeranjayanaya Temple, Ambedkar Circle, Adarsh Palm Retreat, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"Salad, Healthy Food",Delivery,Bellandur,31,3.2,350.0
Glassy,"24-26, 414/80/2, Varthur Hobli, Outer Ring Road",No,Yes,Bellandur,Club,"North Indian, Chinese",Dine-out,Bellandur,707,4.2,1400.0
Lluvia Bakery,"28, HNR Industrial Area, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Takeaway, Delivery",Bakery,Delivery,Bellandur,11,3.4,350.0
Imperio Cafe,"Hagadur Main Road, Near Imperio Market, Whitefield, Bangalore",No,No,Whitefield,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages",Delivery,Bellandur,22,3.9,200.0
Tastebuds,"Opposite Rainbow Residency Main Gate, Junnasandra Main Road, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,"Bakery, Quick Bites","Bakery, Fast Food",Delivery,Bellandur,23,3.7,300.0
Chai Point,"27th Main, Near NIFT, Sector-1, HSR, Bangalore",Yes,No,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",Delivery,Bellandur,316,4.0,250.0
Punjabi Dawat,"33/1, 33/2 Bellendur Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese",Dine-out,Bellandur,248,2.9,400.0
Cupcake Bliss,"Srinivasa Nilayam, Site 3, Vidya Vikas School Road, Panathur New Extension, Kaverappa Layout, Kadubeesanahalli, Bellandur, Bangalore",Yes,No,Bellandur,Bakery,Bakery,Desserts,Bellandur,8,3.3,250.0
Happy Endings,"164, Green Glen Layout, Opposite Little Elly, Bellandur, Bangalore",Yes,No,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts, Italian",Delivery,Bellandur,490,4.3,500.0
Smoor,"RMZ Ecoworld Road, Adarsh Palm Retreat, Bellandur, Bangalore",Yes,No,Bellandur,Dessert Parlor,"Desserts, Beverages",Desserts,Bellandur,44,3.7,900.0
Pots N Pans,"Building 2, Outer Ring Road, Bellandur, Bangalore",No,No,Bellandur,Delivery,"North Indian, Chinese, Biryani",Delivery,Bellandur,5,3.3,600.0
Float,"20\5, Panathur Junction, Outer Ring Road, Kadubeessanahalli, Marathahalli, Bangalore",Yes,Yes,Marathahalli,"Casual Dining, Bar","North Indian, Japanese",Drinks & nightlife,Bellandur,3061,4.4,1500.0
Up Shawarma,"Hotel Bangaliana, Behind Eco World, Mahadevpura, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,Arabian,Delivery,Bellandur,13,3.4,150.0
Pasta Twist Plus,"Mantri Commercio, Kariyammana Agrahara, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"Fast Food, Continental",Dine-out,Bellandur,20,2.6,400.0
Karachi Bakery,"GRS Towers, Near Big Bazaar, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Bakery,"Bakery, Desserts",Desserts,Bellandur,16,3.7,400.0
Yummy Punjabi,"33/1-33/2, Outer Ring Road, Next to Maruti Showroom, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,"North Indian, Chinese",Dine-out,Bellandur,93,2.9,400.0
Cakes Wagon,"152, 5th cross, Bellandur, Bangalore",Yes,No,Bellandur,"Dessert Parlor, Bakery","Desserts, Bakery",Delivery,Bellandur,6,3.4,300.0
Mughal Samraj,"Room 24, 11th Cross Dead End, Near Kick-on Grass Football Ground, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,Fast Food,Delivery,Bellandur,4,3.2,600.0
Quick Bites Food Junction,"HN Halli Lake Road, Radha Reddy Layout, Doddakannelli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"North Indian, Chinese, Bengali",Delivery,Bellandur,30,3.8,300.0
Roll junction,"Building 1, RMZ Ecoworld (SEZ)Outer Ring Road, Deverabeesanahalli, Bellandur, Bangalore",No,No,Bellandur,Food Court,"Fast Food, Rolls",Dine-out,Bellandur,8,3.1,150.0
Tapout Tavern,"13/23, 4th Floor, Haralur Main Road, Ambalipura, Sarjapur Road, Bangalore",Yes,Yes,Sarjapur Road,"Casual Dining, Pub","American, Asian, Continental, North Indian, South Indian, Chinese",Delivery,Bellandur,322,4.1,1200.0
Delhite Food,"457/32, Opposite Bangalore Central Mall, Outer Ring Road, Bellandur, Bangalore",Yes,No,Bellandur,Quick Bites,North Indian,Dine-out,Bellandur,6,3.5,300.0
Lassi Corner,"20/5, Narayanswamy Building, Kadubeesanahalli Bridge, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Yes,No,Marathahalli,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich",Delivery,Bellandur,68,3.8,200.0
Apna Veg Dhaba,"73,Near BBMP Office, Bellandur, Bangalore",Yes,No,Bellandur,Casual Dining,"North Indian, Chinese",Delivery,Bellandur,35,3.1,400.0
Cafe Thulp,"35, 1st Cross, Outer Ring Road, Bellandur, Bangalore",Yes,Yes,Bellandur,Cafe,"Cafe, Burger, Italian, Salad",Cafes,Bellandur,341,4.0,1000.0
The Milkshake Theory,"65/1A, Sarjapur Main Road, Kaikondrahalli, Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Beverage Shop,"Beverages, Fast Food",Delivery,Bellandur,29,3.7,400.0
Dad's Cookhouse,"House 3/3, 1st Floor, Kasavanahalli Sarjapur Road, Bangalore",Yes,No,Sarjapur Road,Quick Bites,"North Indian, Street Food, Chinese, Fast Food",Delivery,Bellandur,44,4.0,300.0
